"groningen ,geleen","chemistry, inorganic & nuclear ,chemistry, organic"
pasadena,"chemistry, multidisciplinary"
gainesville,"chemistry, physical"
,"chemistry, physical"
,"chemistry, physical"
"amsterdam,bethlehem","chemistry, physical"
garching,"chemistry, physical"
amsterdam,"chemistry, physical"
,"chemistry, physical"
gent,"chemistry, physical"
,"chemistry, physical"
,"chemistry, physical"
,"chemistry, physical"
uxbridge,"chemistry, physical"
ufa,multidisciplinary sciences
cambridge,polymer science
cambridge,polymer science
albuquerque,"chemistry, inorganic & nuclear"
"seattle ,montreal","chemistry, multidisciplinary"
newark,"chemistry, multidisciplinary"
pasadena,"chemistry, multidisciplinary"
salt lake city,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, multidisciplinary"
atlanta,"chemistry, organic"
,"chemistry, multidisciplinary"
,polymer science
stuttgart,"chemistry, inorganic & nuclear"
toronto,"chemistry, organic"
wurzburg,"chemistry, multidisciplinary"
,"chemistry, inorganic & nuclear ,chemistry, organic"
"w lafayette ,moffett field","chemistry, multidisciplinary"
seattle,"chemistry, multidisciplinary"
"columbus ,beer sheva","chemistry, multidisciplinary"
pasadena,polymer science
graz,"chemistry, applied ,engineering, chemical ,polymer science"
toyonaka,"chemistry, multidisciplinary"
,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, multidisciplinary"
burlington,"chemistry, inorganic & nuclear"
,"chemistry, inorganic & nuclear ,chemistry, organic"
w lafayette,"chemistry, multidisciplinary"
pittsburgh,"chemistry, physical"
,"chemistry, analytical ,instruments & instrumentation"
,polymer science
"cleveland ,rochester",polymer science
milan,"chemistry, organic"
raleigh,"chemistry, physical"
,"chemistry, physical"
tubingen,"chemistry, multidisciplinary"
,"chemistry, inorganic & nuclear"
,"chemistry, physical"
,"chemistry, applied ,food science & technology"
lund,"chemistry, inorganic & nuclear ,crystallography"
,"chemistry, inorganic & nuclear ,chemistry, organic"
iowa city,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, inorganic & nuclear ,chemistry, organic"
laramie,"chemistry, inorganic & nuclear ,chemistry, organic"
edmonton,"chemistry, inorganic & nuclear ,chemistry, organic"
"newark ,wilmington","chemistry, inorganic & nuclear ,chemistry, organic"
linden,"chemistry, multidisciplinary"
,"chemistry, multidisciplinary"
cambridge,"chemistry, multidisciplinary"
lund,"chemistry, inorganic & nuclear ,crystallography"
sapporo,"chemistry, physical ,environmental sciences"
bern,"chemistry, multidisciplinary"
stanford,"chemistry, multidisciplinary"
la jolla,"chemistry, multidisciplinary"
eindhoven,"chemistry, multidisciplinary"
pasadena,"chemistry, multidisciplinary"
,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, organic ,chemistry, physical ,energy & fuels ,engineering, chemical ,engineering, petroleum"
,"chemistry, organic ,chemistry, physical ,energy & fuels ,engineering, chemical ,engineering, petroleum"
"garching ,oslo","biochemistry & molecular biology ,chemistry, multidisciplinary ,chemistry, organic"
,"chemistry, multidisciplinary"
"berlin ,garching","physics, atomic, molecular & chemical ,spectroscopy"
berlin,"chemistry, multidisciplinary"
durham,"chemistry, inorganic & nuclear ,chemistry, organic"
"los alamos ,bloomington","chemistry, multidisciplinary"
erlangen,"chemistry, multidisciplinary"
gainesville,"chemistry, multidisciplinary"
,"chemistry, physical"
liverpool,"chemistry, inorganic & nuclear"
"bath ,london","chemistry, inorganic & nuclear"
baroda,"chemistry, organic"
kyoto,polymer science
,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, physical"
,"chemistry, physical"
cambridge,"chemistry, multidisciplinary"
,"chemistry, multidisciplinary"
berkeley,"chemistry, inorganic & nuclear"
,"chemistry, physical"
chofu,"chemistry, physical"
,"chemistry, physical"
belfast,polymer science
,polymer science
,multidisciplinary sciences
"berlin ,garching","chemistry, inorganic & nuclear ,chemistry, organic"
cambridge,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, multidisciplinary"
,"chemistry, multidisciplinary"
,polymer science
lund,"chemistry, inorganic & nuclear ,crystallography"
utrecht,"chemistry, inorganic & nuclear"
veszprem,"chemistry, inorganic & nuclear"
boulder,"chemistry, inorganic & nuclear"
"tsukuba ,kokubunji",polymer science
toyonaka,polymer science
kyoto,polymer science
la jolla,"chemistry, inorganic & nuclear ,chemistry, organic"
"groningen ,de kalb","chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, inorganic & nuclear ,chemistry, organic"
gainesville,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, organic"
taejon,polymer science
milwaukee,"chemistry, physical ,engineering, chemical"
