ID,CT,lat,lon,SUBJECTS,CNT
1680,madras,13.060422,80.249583,"chemistry, physical",2.098612289
1694,rochester,43.16103,-77.6109219,"chemistry, multidisciplinary",2.386294361
1704,"perugia ,warrington ,lausanne",43.1107009,12.389172,"chemistry, inorganic & nuclear",1
1704,"perugia ,warrington ,lausanne",53.395794,-2.571767,"chemistry, inorganic & nuclear",2.945910149
1704,"perugia ,warrington ,lausanne",46.5199617,6.6335971,"chemistry, inorganic & nuclear",4.36729583
1706,chapel hill,35.9131996,-79.0558445,"chemistry, inorganic & nuclear ,chemistry, organic",4.610917913
1712,new york,40.7143528,-74.0059731,"chemistry, multidisciplinary",5.17438727
1714,pasadena,34.1477849,-118.1445155,"chemistry, organic",6.010635294
1715,berlin,52.524268,13.40629,"chemistry, multidisciplinary",5.787491743
1716,"la jolla ,la jolla ,bethesda ,frederick",32.8662854,-117.2485721,"chemistry, multidisciplinary",5.465908119
1716,"la jolla ,la jolla ,bethesda ,frederick",32.8662854,-117.2485721,"chemistry, multidisciplinary",5.465908119
1716,"la jolla ,la jolla ,bethesda ,frederick",38.984652,-77.0947092,"chemistry, multidisciplinary",3.397895273
1716,"la jolla ,la jolla ,bethesda ,frederick",39.4142688,-77.4105409,"chemistry, multidisciplinary",3.833213344
1718,berlin,52.524268,13.40629,"chemistry, multidisciplinary",5.787491743
1719,berlin,52.524268,13.40629,"chemistry, multidisciplinary",5.787491743
1749,bloomington,39.165325,-86.5263857,"chemistry, multidisciplinary",4.258096538
1754,"london ,harlow",51.5081289,-0.128005,"chemistry, organic",5.418840608
1754,"london ,harlow",51.767787,0.087806,"chemistry, organic",4.401197382
1758,sapporo,43.0620958,141.3543763,"chemistry, organic",5.290459441
1767,bologna,44.4941903,11.3465185,"chemistry, organic",4.091042453
1768,norman,35.2225668,-97.4394777,"chemistry, inorganic & nuclear ,chemistry, organic",2.386294361
1772,"bern ,marly",46.9479222,7.4446085,"chemistry, applied ,materials science, coatings & films",2.609437912
1772,"bern ,marly",46.7789,7.15407,"chemistry, applied ,materials science, coatings & films",1.693147181
1775,sapporo,43.0620958,141.3543763,"chemistry, multidisciplinary",5.290459441
1776,barcelona,41.387917,2.1699187,"chemistry, inorganic & nuclear ,chemistry, organic",4.63758616
1789,tucson,32.2217429,-110.926479,"chemistry, organic",3.708050201
1790,pointe claire,45.4346056,-73.8084583,"chemistry, organic",2.098612289
1791,"new orleans ,pasadena",29.9510658,-90.0715323,"chemistry, inorganic & nuclear ,chemistry, organic",5.189654742
1791,"new orleans ,pasadena",34.1477849,-118.1445155,"chemistry, inorganic & nuclear ,chemistry, organic",6.010635294
1793,chicago,41.8781136,-87.6297982,"chemistry, organic",4.688879454
1794,christchurch,-43.5320544,172.6362254,"chemistry, organic",3.564949357
1795,la jolla,32.8662854,-117.2485721,multidisciplinary sciences,5.465908119
1798,"cardiff ,middlesbrough",51.481581,-3.17909,"chemistry, inorganic & nuclear",3.48490665
1798,"cardiff ,middlesbrough",54.573,-1.238,"chemistry, inorganic & nuclear",2.386294361
1801,frankfurt,50.1109221,8.6821267,"chemistry, inorganic & nuclear",3.302585093
