Id,CO,lat,lon
572,['germany'],51.165691,10.451526
574,['germany'],51.165691,10.451526
575,['usa'],37.09024,-95.712891
576,['germany'],51.165691,10.451526
577,"['india ,russia']",20.593684,78.96288
577,"['india ,russia']",61.52401,105.318756
578,"['usa ,japan']",37.09024,-95.712891
578,"['usa ,japan']",36.204824,138.252924
579,['usa'],37.09024,-95.712891
580,['usa'],37.09024,-95.712891
581,['ireland'],53.41291,-8.24389
582,['usa'],37.09024,-95.712891
585,['germany'],51.165691,10.451526
587,['usa'],37.09024,-95.712891
588,['usa'],37.09024,-95.712891
589,['usa'],37.09024,-95.712891
590,['usa'],37.09024,-95.712891
591,['usa'],37.09024,-95.712891
592,['netherlands'],52.132633,5.291266
594,['usa'],37.09024,-95.712891
595,['south korea'],35.907757,127.766922
596,['japan'],36.204824,138.252924
599,['usa'],37.09024,-95.712891
601,['usa'],37.09024,-95.712891
602,"['usa ,south korea']",37.09024,-95.712891
602,"['usa ,south korea']",35.907757,127.766922
604,['usa'],37.09024,-95.712891
605,['south korea'],35.907757,127.766922
606,['france'],46.227638,2.213749
607,['usa'],37.09024,-95.712891
608,['usa'],37.09024,-95.712891
609,['usa'],37.09024,-95.712891
610,['india'],20.593684,78.96288
611,['usa'],37.09024,-95.712891
612,['usa'],37.09024,-95.712891
613,['usa'],37.09024,-95.712891
614,['south korea'],35.907757,127.766922
615,['usa'],37.09024,-95.712891
616,['usa'],37.09024,-95.712891
617,['usa'],37.09024,-95.712891
618,['usa'],37.09024,-95.712891
619,['netherlands'],52.132633,5.291266
621,['canada'],56.130366,-106.346771
622,['usa'],37.09024,-95.712891
623,['usa'],37.09024,-95.712891
625,['germany'],51.165691,10.451526
626,['usa'],37.09024,-95.712891
627,['austria'],47.516231,14.550072
631,['usa'],37.09024,-95.712891
632,['usa'],37.09024,-95.712891
633,['usa'],37.09024,-95.712891
634,['usa'],37.09024,-95.712891
635,['usa'],37.09024,-95.712891
639,['england'],52.3555177,-1.1743197
640,['usa'],37.09024,-95.712891
641,['usa'],37.09024,-95.712891
642,['usa'],37.09024,-95.712891
643,['poland'],51.919438,19.145136
645,['russia'],61.52401,105.318756
646,['netherlands'],52.132633,5.291266
647,['usa'],37.09024,-95.712891
